{3.124228367957156,	2.3039751346470787},
{-2.7766614434826407,	0.6791938232037769},
{-0.6087758261046394,	2.798041935020919},
{-1.214661087795605,	2.595839036781655},
{2.295983850373722,	-1.2406200545308916},
{3.8621006533852027,	-2.4095451781041595},
{4.723889141829057,	-6.061089868478683},
{2.0803717744246253,	-4.684889251005515},
{0.5194694840443805,	-1.6996089095077842},
{1.7175633686548544,	-5.06706834680213},
{4.186778697359664,	-0.6088225997453423},
{1.4930538567438418,	-4.2976602269847515},
{0.6815476853084146,	-7.9891000691682},
{2.773387523093386,	-6.690954422554739},
{-3.0730663485449172,	-2.364806186287531},
{1.7940805638145711,	-4.730568259598427},
{3.191806779075458,	-3.142397844268131},
{-0.00885978977030355,	-6.584520568164099},
{-4.992562258473617,	-5.605370386655819},
{-3.828676779029708,	-2.3589088906175126},
{-3.8225462216090227,	-3.8924906634596512},
{-2.5588625365502846,	-5.037290009527259},
{-2.411401135097356,	-1.5162954267964928},
{0.7415413419441732,	-0.6578527060033412},
{-4.009565372560579,	-5.884044666958965},
{-0.49019056151721774,	-3.4176750908157985},
{-4.4033762138541706,	-2.3380380631234283},
{-5.448854015599755,	-3.2325112891250356},
{-5.355766004256796,	-7.890390198377991},
{-3.680540372635165,	-3.9598261644908836},
{-6.944997164480956,	-2.937046486840541},
{-1.27172949714482,	-6.386560188979916},
{-4.378928334675564,	-9.196414375798092},
{-8.187284979410865,	-9.024649751664},
{-6.637309582501784,	-1.457380445940287},
{-6.1726127011843985,	-2.5141030106423665},
{-7.274493822621203,	-4.53513274326316},
{-8.152419623117485,	-5.295360847217617},
{-1.2482306095198998,	-3.9586087208466942},
{-7.744432043785938,	-4.936804571511522},
{-7.910371386603003,	1.1571520668782904},
{-8.39988445343131,	-1.4663308864950375},
{-1.8068497528952125,	-4.917848654705029},
{-1.181310556069188,	-1.2419677635365431},
{-6.387949512771567,	-3.7342159898377956},
{-4.894865880911836,	0.2082599364870168},
{-6.078464415431652,	-0.8394475082915323},
{-7.332282472827953,	-3.8203727600699846},
{-1.8873790769688599,	-2.377593109072377},
{-8.77856746549055,	-5.528147871578282},
{-8.393979401524712,	-0.4091277038122776},
{-4.061986185255767,	-3.7762022730932},
{-5.328392290733486,	-3.6252945716340967},
{-2.661692235657193,	-0.36203767977433365},
{-6.187551552241988,	2.947727480783713},
{-4.2404272503612885,	-1.2744334079284254},
{-5.6607934997345515,	-2.005737197530257},
{-8.234493820846842,	1.9592972531690425},
{-10.956437615498885,	2.2936312770553995},
{-10.39959340830545,	0.4387715917243691},
{-7.9050405132987125,	-1.8916709612045706},
{-9.791201644506263,	-3.765548078943711},
{-11.191198187155887,	1.5354641273879217},
{-6.278510422728756,	-1.0028937215049325},
{-9.639912712809242,	-4.792405172137972},
{-10.356588385865734,	-2.8388404877096187},
{-12.535223276683064,	1.858949273313332},
{-6.410992381326185,	-3.499386329819579},
{-9.674410922617174,	-0.010654767044852242},
{-5.216578198878371,	-0.41418534741265933},
{-8.561343400156296,	-2.7223334536713164},
{-12.789078603901956,	0.030780456274898782},
{-10.826998593501381,	2.1865548826412367},
{-6.645678034832673,	3.6124409219847013},
{-9.385578642944143,	2.346862795707527},
{-8.791033151282036,	0.2554911904315418},
{-10.302913310747499,	-1.7965741415845269},
{-10.275204121709812,	-1.0628498154859782},
{-6.955365566678483,	5.656693561984534},
{-11.613438885030318,	1.5341565520166363},
{-11.569199071033132,	1.5769376179901187},
{-6.231849294854684,	3.7592212868289634},
{-8.611565693238393,	-0.6121635487317416},
{-3.9332991938201296,	1.165410280205995},
{-9.97437923082553,	0.8367030291925417},
{-9.953216585410246,	1.6039948498813965},
{-9.32459746439498,	2.878581154679128},
{-9.530170362400629,	2.2794021173395578},
{-9.664111522391188,	5.895385064792139},
{-5.697280772306887,	4.535834934822742},
{-5.286659783828434,	4.992280481558103},
{-3.6239195601095195,	2.7018769131522244},
{-5.988548636001176,	4.680079127230679},
{-3.5761901738480404,	1.6117594541039075},
{-5.728653407547191,	2.07592284721337},
{-1.6851557365565286,	5.895494796368208},
{-5.621738362156824,	-0.5256482333852226},
{-6.358941819805327,	0.2460770356899067},
{-4.331962800841753,	2.94101188565641},
{-4.943580542028348,	2.4205984735133956},
{-6.104911408340514,	4.510108226298835},
{-4.852639571566293,	6.7475632933097405},
{-1.683516884704222,	4.3981930224630705},
{-5.267570658231525,	7.476571817019647},
{-7.782124142509061,	2.7885391570690565},
{-6.792043886584999,	6.371211808049584},
{-3.3410474789447324,	3.904629826354804},
{-2.361034978186809,	4.607388612736047},
{-7.550439071083596,	4.698420740250032},
{0.11419278097117314,	9.295046880989489},
{-3.256422352232587,	8.148501656966204},
{-5.6272946326203925,	10.019733320983011},
{-5.9966219362534705,	4.7258459672566175},
{-6.441483512361755,	5.741569413723718},
{-8.511021091594957,	6.694151582431818},
{-9.103019392273463,	5.060876939801543},
{-2.4213693119113673,	11.970614691313564},
{-4.388997238410542,	9.660531005695672},
{-2.024736372609671,	12.131367500343815},
{-5.195534343919983,	7.163970789040807},
{-2.3093059348643914,	6.490064018276413},
{-9.648661495901802,	11.64588280837102},
{-7.92432795000375,	10.37953605054105},
{-9.749297977500085,	7.102759882366154},
{-9.209596911569562,	7.671737167765277},
{-5.330841008743295,	7.090016354485424},
{-8.091035385624426,	7.302773883082723},
{-4.415004697595009,	7.58462838587884},
{-10.44523124525052,	5.111109828605715},
{-6.442708969380738,	7.295621930712447},
{-10.6318189531274,	3.7960710097925547},
{-8.750111939939249,	9.286303492961466},
{-11.111316799584493,	11.358255739905292},
{-8.27578134814125,	7.379744503288873},
{-6.336937491777909,	9.451475402840135},
{-6.58787760031431,	10.878786265462228},
{-7.111456995551961,	7.4512862603973025},
{-11.886573312688009,	10.003843328092273},
{-7.624820216331891,	6.1811590114660415},
{-6.961132870061444,	5.674812498522167},
{-8.362653571499497,	8.30791027235653},
{-7.0559312474953675,	8.082729144129308},
{-9.739347484015443,	12.258961249643555},
{-11.668232857692377,	13.62528681593052},
{-11.392808135529211,	8.029097350297626},
{-10.21965264733181,	11.490228543497626},
{-7.23149176002277,	7.86262211629868},
{-7.037618271899271,	14.928781706069929},
{-6.460608598290222,	11.911243218990027},
{-10.352984041346032,	6.441299248616377},
{-10.7104377989456,	11.130407772346292},
{-7.659605317686459,	11.60361961078377},
{-2.972266640729333,	11.48871192776826},
{-3.405689668266233,	9.083401783204312},
{-3.8013061909241515,	8.365502315950213},
{-6.497026897969033,	10.543147483610095},
{-7.018359346955828,	13.471506066759446},
{-2.601305272462467,	11.756009784862675},
{-3.7982508802591903,	8.803427989871679},
{-0.9344094618381424,	14.32661130081393},
{-2.761472647542126,	9.243575606971945},
{-1.6072429467924643,	14.960444063756142},
{0.2953480267223947,	9.459294986741531},
{-0.5875063194430465,	9.282658738604432},
{-5.76779587684759,	8.859943603384565},
{-3.397459972871693,	13.318663847479604},
{0.6487489388362278,	11.720204016357986},
{-1.9014915988823198,	10.158411718334342},
{0.5045434522309806,	9.736542199027243},
{0.7103228353167621,	5.629282481184789},
{-3.6851380987191904,	12.25728339280126},
{-7.8107002437751945,	5.948399991704038},
{-6.753922564447805,	8.317681052387922},
{-5.668694613862925,	10.119743656647053},
{-7.710633261698676,	8.311956523613226},
{-7.581798450523648,	6.284385646960684},
{-1.6992223500047938,	11.01943595669173},
{-1.3308275880234888,	5.756926535234622},
{0.8388116819734055,	8.778667305331663},
{1.2959090053759263,	7.559659533120858},
{0.345364578389864,	3.375054479661708},
{-3.546408548312188,	2.6374681662565163},
{-0.41591738346086515,	6.646211476478696},
{-4.834126706305037,	7.772131781552006},
{-0.8329175023861355,	7.431347142702821},
{-0.10170178767235871,	8.236800820050496},
{1.5173669601173074,	5.057747849523215},
{-0.7680185192995159,	2.618924360878421},
{2.40356884689432,	3.1305560003475215},
{-0.7681063513898847,	5.055899709334237},
{-1.504546270262738,	10.732918928891284},
{-1.4000284060789419,	4.928142249151976},
{-3.0639404981013225,	3.826588792485058},
{-3.8217618597455214,	6.3010980274564625},
{-1.3852550725983193,	7.620344619618191},
{-1.1712056648585332,	9.01516322287773},
{-3.430688091507025,	9.784010015124679},
{-2.5075477828069133,	10.554494258788726},
{-3.4806663194624505,	6.346008155854296},
{-2.692656552618594,	11.038835180906837},
{0.8194497104864249,	8.1809392758036},
{-2.898926573808395,	11.560242869491468},
{-1.961581727886526,	10.390005472726173},
{-1.7560881181648318,	8.955052760667217},
{2.324008740073948,	9.683079772147115},
{-2.454341729721439,	10.666196675935375},
{3.059267433730974,	14.75377844672407},
{-0.6502108420493151,	8.572384493520527},
{-2.926880620310129,	8.91085359735063},
{3.03276465365101,	13.826958372059444},
{0.33714740430014345,	11.208047898920064},
{3.1760162836107035,	11.758416883372313},
{1.5459976363732624,	12.307920931756684},
{3.0856588895788324,	9.885702617678042},
{4.320812341127831,	10.347174249198009},
{4.920770777248297,	6.585658438115681},
{4.34838859340544,	9.405217335655127},
{-0.4119600669298933,	9.895030190587295},
{2.733855008414168,	5.76122731286953},
{0.5841741353321979,	10.992749363126435},
{6.85003780321946,	8.81277247506264},
{5.430570159024079,	6.6823052080074685},
{3.410265438855597,	8.939041516023421},
{4.121235992756338,	11.850373432756692},
{7.621205985738826,	7.727802684412502},
{5.456142436910785,	12.30833356652102},
{0.8938511441295525,	7.862865379455679},
{4.239929984625492,	13.958561916554043},
{1.523532046717846,	10.58426845957262},
{0.6278049231999496,	12.165929598914133},
{0.9463985267311879,	16.89817307151525},
{1.0464440882672728,	15.751306763952025},
{5.23456480378374,	14.173462996210155},
{1.8169407792686094,	16.174812417801682},
{4.01902866302053,	13.704971175183335},
{2.9020359899753467,	9.425894660139956},
{4.339978837183461,	10.595576801745237},
{3.486981418234234,	11.411284266935688},
{5.188887353204575,	17.956498696439898},
{7.751843208162509,	11.98980542997932},
{7.278528991962164,	15.281409373531762},
{3.382696695429151,	14.112702998615102},
{-0.6905056904988456,	15.162279948944748},
{1.180162322110454,	12.590880547389094},
{-1.6317807541855895,	13.51005623165852},
{2.6117984571128163,	17.018841084898515},
{6.809558745556349,	19.18624888857381},
{0.5761509223288641,	16.588460392820117},
{-0.5735778810301486,	17.206533065390488},
{4.331944463269334,	13.909493312499983},
{-2.1587892244235007,	15.994177567316232},
{-2.2030403105714864,	17.757809614354528},
{2.9590837677332624,	17.855727638648712},
{0.706052393071122,	14.396697031156952},
{-1.6397404272305893,	17.82441967556525},
{-3.1932698776408674,	13.169621785482379},
{0.541840124329867,	14.479813521888424},
{-4.599695232473477,	17.571801125998732},
{2.7448725595117516,	13.571161522007635},
{-0.7468410502114597,	12.101467835446886},
{-2.2178820085908955,	16.801333090092474},
{1.3979517902491683,	13.488692080374786},
{1.2812797425435996,	19.788017845455293},
{-1.8086760656561545,	17.611545766702974},
{-5.286056598102666,	15.560049409522518},
{-0.3461766824250283,	18.473295233351593},
{-3.9636323151486117,	13.970671000171011},
{2.2746466664540845,	16.879785226037804},
{3.056547199137735,	16.317888681983135},
{3.6245229291860532,	15.12855735866778},
{0.6502650378855064,	20.439742987799423},
{-2.701388828031921,	21.400946133166023},
{-0.6024800526260803,	23.797773418240574},
{-2.404347937067758,	19.73265693468705},
{-1.981634982658563,	15.36326842990703},
{-1.925110678249708,	22.572608332282492},
{-0.43863344386615033,	20.431014322103984},
{1.3237327170227822,	16.37007773598515},
{4.470117046184595,	16.639621348729413},
{1.836956149080728,	15.010749116942982},
{2.074287902512488,	14.700967852637891},
{2.543953590206759,	18.48951474021509},
{-0.09577499208826534,	16.03480781293608},
{7.327599229486776,	16.623166711816236},
{3.308434188383594,	20.372729204014774},
{5.587118723195431,	14.511967145349939},
{5.128133815426497,	20.003446157870126},
{1.5280881364161818,	17.275164797373392},
{0.10398654151756581,	22.485204792865776},
{8.358109487689331,	20.61096512711732},
{1.1652676538681357,	17.834080406817655},
{4.619661222465597,	15.766070506976368},
{3.2390705561235453,	18.65416381194521},
{5.489558891814711,	19.714502376506264},
{1.807756693209532,	17.645346268037095},
{8.695426094069353,	17.17724587232445},
{3.3751678563835377,	16.576736374820676},
{2.3639878846480444,	16.789177961222},
{1.9960054043780433,	19.851731788712144},
{6.946211845898332,	20.917772660785275},
{5.903365211191162,	17.845495628451964},
{3.9544265362613116,	15.100456574610531},
{4.8005351277356505,	14.96984726327874},
{1.2401914047902665,	15.164900303826313},
{4.803299732578061,	13.850592512128475},
{5.016103795159934,	15.208297867157864},
{4.686726557003673,	12.733346198810215},
{6.623943291879304,	11.413976534552917},
{7.23927378072398,	16.0452597120729},
{4.786499922821012,	12.385375179109163},
{1.2293808659840648,	13.072168544831921},
{9.70312860215637,	12.716440346681804},
{9.638408661265284,	15.428657502391419},
{9.155957683749413,	10.46312515619255},
{4.3635516017857485,	14.477305747737937},
{6.740350074545242,	9.600683940043702},
{9.228492926223838,	12.625696004781716},
{9.541012717218372,	13.733608780518946},
{9.329231088373643,	16.737385723368348},
{4.089456691243531,	11.22787049100464},
{8.355014093748302,	13.892633610957766},
{6.545477355514939,	15.831839245100522},
{12.969845004303473,	11.926638556118633},
{9.795101296908474,	14.259151797454525},
{12.134593582887279,	16.400039083033228},
{8.215837294266137,	13.389345761977093},
{6.331413677872472,	9.07977643599601},
{13.196901989379931,	9.735581011343264},
{10.181621603430393,	10.288788524045394},
{8.11005731970349,	12.097303377322241},
{5.072875220083877,	13.663464978070055},
{8.134954333215996,	10.546700554855637},
{11.85403373747214,	10.515348896889076},
{5.581883033993163,	11.924788283368468},
{4.428142841782319,	13.442025404477015},
{5.410249977698325,	8.129923163213094},
{6.213508002137645,	7.142163401387924},
{10.037060435252572,	6.4953186921671},
{9.165573231108159,	14.711131076868508},
{7.19507302924013,	13.295427734889767},
{9.739295558835092,	11.714293145647364},
{5.837847478893781,	14.932654618417683},
{10.466779767849768,	14.911550101845217},
{2.166014027850129,	11.896826979671246},
{7.397368686221699,	10.734296843966536},
{2.1079119310615653,	14.102146878467465},
{4.313597427533113,	12.047547733511083},
{3.11165737719928,	11.074192123537976},
{1.0812943835315298,	9.799728669435193},
{2.8439305780453843,	11.235381900112039},
{1.7550338531228498,	12.947515153989986},
{6.127584581882666,	7.609831121632618},
{2.36002018401856,	10.489867586415528},
{4.895826292228477,	10.916822917596242},
{8.41551439449232,	9.177626544522468},
{6.2162384600651786,	12.094502679998993},
{7.305349444616154,	8.60258630883661},
{7.087074637493306,	6.282674582980696},
{8.694774869491056,	7.721420657486008},
{3.117718890419117,	7.408133874943786},
{4.032569702610659,	10.126531928321509},
{1.4034083445208534,	4.592482944226373},
{1.8026543686631102,	10.048841750852741},
{5.686144643128814,	11.96935104807562},
{7.945234244059213,	9.492503772231387},
{1.1748785892198361,	10.05555750366564},
{1.8657975864465906,	3.6996570707683176},
{4.8603818647217105,	4.384186669607126},
{4.417437597692655,	5.287652355177933},
{6.542207029395931,	7.973663359330691},
{2.7785678601900834,	10.121407425318393},
{5.754095089660797,	8.533455342059158},
{2.8155773056199465,	5.966138437925331},
{2.681855440152371,	4.043541571516265},
{6.031095766033954,	7.67542676177865},
{5.0484124263497705,	1.538107287262446},
{6.3212078598981,	3.214235518703224},
{5.121938728054292,	3.0776162602619044},
{7.831205502772962,	4.733048678398273},
{11.513602679774717,	3.0565185272814643},
{6.296081544881033,	6.570404481108598},
{7.66059065600632,	4.878452447490486},
{9.298735944812925,	6.141669529345696},
{9.60941191454335,	6.302363921905882},
{11.91602077999,	6.070121745925439},
{5.121029725560448,	3.152116653007183},
{3.4121759033632255,	4.755784110428121},
{2.9524238076040623,	8.838681848676998},
{7.644819043100441,	9.192257569478976},
{9.992197270321553,	5.229567851020261},
{8.90693876013609,	6.284312068178747},
{5.219729320549431,	10.628007519872186},
{4.776280416169858,	10.737745899118483},
{5.800218262346051,	9.464006027209283},
{9.451982777642357,	11.3587518399132},
{7.107713799685525,	10.045247014678903},
{5.297969755286834,	13.546657710667954},
{11.284019641323251,	6.67898658123531},
{10.421259572611191,	13.792274908304547},
{7.80898567713243,	10.771235385425474},
{8.122907347630871,	15.550152037681865},
{11.232592555871044,	12.054906882254173},
{8.269056157877804,	9.501027901881749},
{9.647993784478022,	8.861346254621123},
{6.393869053165654,	8.18501903740702},
{5.787573218059277,	6.209211355110886},
{6.026110878987529,	10.603878883410365},
{8.934872678902607,	5.421268629158504},
{7.659535978207407,	13.602001588057135},
{10.326377377642352,	10.0654560781582},
{10.45902148575448,	8.032535581186703},
{11.028343650074698,	12.085857192494935},
{11.821613091710383,	10.289463508553315},
{9.464124072442317,	13.512164332154697},
{9.77588293492514,	14.65835283288595},
{14.89923797440775,	10.60247542849923},
{14.449340547199876,	8.393952942877176},
{15.051813486040405,	11.014072994351135},
{15.57052853819119,	14.84420440191555},
{14.514370835808414,	9.686678519808403},
{12.546455438469657,	13.507939646225008},
{16.77021937500328,	9.642581332497093},
{10.239319478503944,	9.895782202329386},
{15.589162151022819,	12.053680954267856},
{13.929092076570345,	11.055211907181661},
{12.725786752807483,	6.819288995757153},
{11.844078824680512,	12.609012422653468},
{13.533077144706793,	5.119138630165811},
{11.137650853268124,	8.376654762882849},
{13.567067718130394,	9.64615055873746},
{8.245534070820222,	9.43584342545168},
{14.717112669562486,	8.260448950923319},
{14.64344136557903,	7.115096504333913},
{15.057161223139303,	4.033942500943168},
{9.485530995110654,	10.255097254602486},
{14.49856425442048,	7.825841969173241},
{11.238357679121062,	4.298256860703893},
{15.90436264832402,	5.800769084367834},
{11.449489176918762,	3.9665203579213157},
{17.81927166168828,	1.4578020128024773},
{17.891235301818725,	4.323544536600438},
{16.884201511365553,	4.823624422816511},
{11.756597955620645,	8.11238796155985},
{17.423677716307225,	2.718708825164823},
{12.35874350492827,	3.8412514510734788},
{13.311582024185036,	4.137568676804382},
{14.612872876932347,	3.63081270215476},
{17.99385914794222,	7.478742242498805},
{13.943857343803408,	3.7402047148076427},
{17.227871621863777,	5.269231054945499},
{14.78940809395834,	7.312871907144282},
{13.296646417624288,	8.147422222353498},
{10.296493714943207,	8.652739969007332},
{11.692194137137918,	8.681644628806993},
{13.98253315634551,	5.717237160171784},
{16.27191632579775,	6.278674754218004},
{13.217787728991532,	8.246982487701372},
{14.907799546765688,	8.790005280377942},
{15.911329373270444,	6.734127414344579},
{12.525941272991076,	9.614553107164898},
{16.603706045900893,	8.305197275291436},
{17.22932748004237,	11.530376086846658},
{13.65798096505625,	11.222376151281356},
{19.962976990309894,	7.307362503617068},
{19.910450196979184,	14.05194181021964},
{19.56491393150049,	14.47854673344819},
{13.28905573714885,	13.88598025757312},
{21.446522135190826,	14.61164814471822},
{16.706817473501044,	10.118038146110987},
{16.181798828026768,	10.137067740750492},
{20.30232679466379,	9.144513217960391},
{19.07116645712366,	5.284622537777792},
{17.68156984612652,	12.006893727888146},
{19.65944449358954,	9.395881543397753},
{21.78090652726954,	7.401020603809871},
{23.541413785824346,	9.798087751452591},
{23.81648629833779,	7.746410254351701},
{17.066872093936155,	6.359868830704958},
{22.245632494772966,	13.581027661006598},
{22.16687397926628,	11.464131000917615},
{20.27441880740014,	8.366054500517745},
{16.12681491808383,	10.616423098278478},
{22.852107235337023,	10.757877345265229},
{14.073801441731092,	10.839199241160433},
{14.788102384575343,	12.95915422782539},
{16.3680876429611,	14.789716004535832},
{16.040731414756245,	11.98836946982129},
{17.64276681617578,	10.344407213619544},
{20.873353393138466,	16.953964138073175},
